Category              	Name                                        	Used?	Required schematic elements	diff.dg 	diff.rs	diff.ct	cfom.wp	tap.dg  	dnwell:dg	pwbm.dg 	pwdem:dg	hvtr.dg	nwell.dg	hvtp:dg 	lvtn:dg 	pwell.rs	pwell.ct	ncm.dg [#f2]_	tunm:dg	hvi:dg	rpm:dg	poly.dg	poly.rs	poly.ct	poly:ml	ldntm:dg	npc:dg	nsdm.dg 	psdm.dg	licon.dg	li1.dg	li.rs	li.ct	capm:dg	capm_2t.dg	metX.dg	metX.fe	met1:dg	met2:dg	met3:dg  	met4.dg  	met5.dg  	rdl.dg   	inductor:dg	capacitor.dg	areaid.le	areaid.en	pnp.dg	npn.dg	areaid.st	areaid.de	areaid.re	areaid.po	areaid:ce	areaid.ed	areaid.ext	UHVI     	areaid.low_vt	Drawn Route / Comments       	Layout Model
DIODE                 	High Vt pDiode NV [#f8]_                    	     	diode                      	D       	+	+	+	+       	+        	-       	+       	-	D       	D       	C       	+       	+       	C            	+	-	+	+	+	+	+	+       	+	+       	D	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	+        	-        	+        	+        	          	-        	-            	                             	pdiode_hvt
DIODE                 	Low Vt nDiode [#f8]_                        	X    	diode                      	D       	+	+	+	+       	+        	-       	+       	-	+       	+       	D       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	D       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	+        	-        	+        	+        	          	-        	-            	                             	ndiode_lvt
DIODE                 	NV SONOS Diode [#f8]_                       	     	diode                      	D       	+	+	+	+       	+        	-       	+       	-	+       	+       	D       	+       	+       	+            	D	+	+	+	+	+	+	D       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	+        	-        	D        	+        	          	-        	-            	                             	ndiode_nvs
DIODE                 	Native nDiode [#f8]_                        	X    	diode                      	D       	+	+	+	+       	+        	-       	+       	-	+       	+       	D       	+       	+       	+            	+	D	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	+        	-        	+        	+        	          	-        	-            	                             	ndiode_native
DIODE                 	Nwell Diode [#f8]_                          	X    	diode                      	+       	+	+	+	+       	-        	-       	+       	-	D       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	-        	-        	+        	+        	          	-        	-            	                             	nwdiode
DIODE                 	Nwdiode_victim [#f17]_                      	X    	lvsdiode                   	+       	+	+	+	+       	-        	-       	+       	-	D       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	-        	-        	+        	+        	          	-        	-            	                             	nwdiode
DIODE                 	Nwdiode_aggressor [#f17]_                   	X    	lvsdiode                   	+       	+	+	+	+       	-        	-       	+       	-	D       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	-        	-        	+        	+        	          	-        	-            	                             	nwdiode
DIODE                 	RF Nwell Diode [#f8]_                       	X    	diode                      	+       	+	+	+	+       	-        	-       	+       	-	D       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	D        	-        	+        	+        	          	-        	-            	                             	xnwdiode_rf
DIODE                 	Pwell-Deep Nwell Diode [#f8]_               	X    	diode                      	+       	+	+	+	+       	D        	-       	+       	-	-       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	-        	-        	+        	+        	          	-        	-            	                             	dnwdiode_pw
DIODE                 	RF ESD Pwell-Deep Nwell Diode [#f8]_        	X    	lvsdiode                   	+       	+	+	+	+       	D        	-       	+       	-	-       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	D        	+        	-        	+        	D        	          	-        	-            	                             	xesd_dnwdiode_pw_X (where X=100 200 300)
DIODE                 	RF Pwell-Deep Nwell Diode [#f8]_            	X    	diode                      	+       	+	+	+	+       	D        	-       	+       	-	-       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	D        	-        	+        	+        	          	-        	-            	                             	xdnwdiode_pwell_rf
DIODE                 	Psub-Deep Nwell Diode [#f8]_                	X    	diode                      	+       	+	+	+	+       	D        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	+        	-        	+        	+        	          	-        	-            	                             	dnwdiode_psub
DIODE                 	Psub-Deep Nwell Diode [#f17]_               	X    	lvsdiode                   	+       	+	+	+	+       	D        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	+        	-        	+        	+        	          	-        	-            	                             	dnwdiode_psub
DIODE                 	Psub-Deep Nwell Diode [#f17]_               	X    	lvsdiode                   	+       	+	+	+	+       	D        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	+        	-        	+        	+        	          	-        	-            	                             	dnwdiode_psub
DIODE                 	Psub-Deep Nwell Diode [#f8]_ [#f19]_        	     	diode                      	+       	+	+	+	+       	D        	D       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	+        	-        	+        	+        	          	D [#f18]_	D [#f18]_    	                             	dnwhvdiode_psub
DIODE                 	HV Pwell-Deep Nwell Diode [#f8]_ [#f19]_    	     	diode                      	+       	+	+	+	+       	D        	-       	D       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	+        	-        	+        	+        	          	-        	-            	                             	dnwdiode_hvpw
PNP                   	Parasitic PNP                               	X    	pnp4                       	D       	-	-	+	D       	-        	-       	-       	-	D       	+       	-       	+       	+       	-            	+	-	+	-	-	-	+	+       	+	D       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	D	-	+        	-        	+        	-        	-        	-        	          	-        	-            	Layout provided by technology	pnppar pnppar5x
PNP                   	Parasitic HV Gated NPN                      	X    	npn4                       	D       	-	-	+	+       	D        	-       	-       	-	D       	+       	-       	-       	-       	-            	+	D	+	D	-	-	+	+       	+	D       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	D	+        	-        	+        	-        	-        	-        	          	-        	-            	Layout provided by technology	npn_1x1_2p0_hv
PNP                   	Parasitic NPN                               	X    	npn4                       	D       	-	-	+	+       	D        	-       	-       	-	D       	+       	-       	-       	-       	-            	+	-	+	-	-	-	+	+       	+	D       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	D	+        	-        	+        	-        	-        	-        	          	-        	-            	Layout provided by technology	npnpar1x1 npnpar1x2
ESD transistor        	LV nESD transistor                          	X    	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	-       	+       	+       	-            	-	-	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	D        	          	-        	-            	NMOS with ESD_nwell_tap      	nshortesd
ESD transistor        	HV nESD transistor                          	X    	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	-       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	D        	          	-        	-            	NMOS with ESD_nwell_tap      	nhvesd
ESD transistor        	HV Native nESD transistor                   	X    	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	D       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	D        	          	-        	-            	NMOS with ESD_nwell_tap      	nhvnativeesd
ESD transistor        	HV pESD transistor                          	X    	pfet                       	D       	-	-	+	-       	+        	-       	-       	-	D       	-       	-       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	D        	          	-        	-            	                             	phvesd
